Experiment,Run_ID,Date-Hour,Num_Test_Species,Num_Test_Images,Test_Overall_Accuracy,Test_Balanced_Accuracy,Test_mAP,Test_F1,Num_Ind_Location_Species,Num_Ind_Images,Ind_Overall_Accuracy,Ind_Balanced_Accuracy,Ind_mAP,Ind_F1,cat,mouse,possum,rat,stoat,Images_per_sec
Exp_03,Run_02,23_10_04_12,73,13921,0.379,0.494,0.492,0.342,20,3599,0.606,0.575,0.365,0.371,0.264,0.182,0.458,0.351,0.483,10.101
Exp_02,Run_01,23_10_04_12,51,1004,0.759,0.777,0.868,0.786,20,3599,0.413,0.308,0.402,0.363,0.414,0.313,0.69,0.551,0.496,6.918
Exp_01,Run_01,23_10_04_13,71,10726,0.752,0.713,0.821,0.757,20,3599,0.614,0.557,0.674,0.566,0.653,0.352,0.828,0.662,0.757,16.188
Exp_05,Run_01,23_10_04_15,70,22078,0.811,0.73,0.834,0.772,20,3599,0.615,0.561,0.666,0.591,0.656,0.42,0.841,0.624,0.723,12.865
Exp_01,Run_05,23_10_10_19,71,10726,0.776,0.81,0.869,0.804,20,3599,0.602,0.57,0.676,0.566,0.578,0.295,0.812,0.566,0.738,3.352
Exp_03,Run_08,23_10_11_10,73,13921,0.798,0.816,0.866,0.807,20,3599,0.582,0.552,0.661,0.531,0.617,0.28,0.775,0.526,0.701,10.362
Exp_03,Run_09,23_10_11_12,73,13921,0.761,0.826,0.851,0.706,20,3599,0.579,0.561,0.631,0.537,0.58,0.245,0.775,0.5,0.651,10.869
Exp_03,Run_11,23_10_12_10,73,13921,0.798,0.718,0.836,0.782,20,3599,0.581,0.537,0.65,0.581,0.636,0.31,0.814,0.521,0.732,10.332
Exp_03,Run_12,23_10_13_01,73,13921,0.798,0.718,0.836,0.782,20,3599,0.58,0.537,0.648,0.582,0.643,0.282,0.801,0.489,0.729,11.01
Exp_03,Run_13,23_10_13_23,73,13921,0.82,0.79,0.877,0.828,20,3599,0.607,0.57,0.676,0.586,0.689,0.374,0.809,0.523,0.745,10.887
Exp_04,Run_02,23_10_14_03,73,5013,0.786,0.78,0.874,0.806,20,3599,0.605,0.589,0.693,0.582,0.732,0.301,0.804,0.506,0.653,10.553
Exp_05,Run_03,23_10_14_10,70,22078,0.189,0.164,0.143,0.189,20,3599,0.122,0.122,0.164,0.141,0.095,0.167,0.463,0.265,0.089,10.832
Exp_05,Run_04,23_10_14_20,70,22078,0.798,0.818,0.874,0.796,20,3599,0.569,0.541,0.614,0.539,0.668,0.295,0.773,0.562,0.729,10.822
Exp_05,Run_05,23_10_15_20,70,22078,0.821,0.709,0.837,0.785,20,3599,0.6,0.555,0.662,0.609,0.628,0.321,0.795,0.588,0.707,10.875
Exp_05,Run_06,23_10_17_11,70,22078,0.75,0.834,0.855,0.695,20,3599,0.568,0.537,0.604,0.512,0.58,0.271,0.747,0.491,0.671,10.572
